KaROlTz,Mon, 29 Jul 2019 15:41:56 GMT,click, idea, 1, emotion, excited
KaROlTz,Mon, 29 Jul 2019 15:42:01 GMT,click, idea, 1
KaROlTz,Mon, 29 Jul 2019 15:42:02 GMT,click, idea, 1
KaROlTz,Mon, 29 Jul 2019 15:42:11 GMT,click, idea, 32, emotion, excited
KaROlTz,Mon, 29 Jul 2019 15:42:18 GMT,click, idea, 23, emotion, neutral
KaROlTz,Mon, 29 Jul 2019 15:42:19 GMT,click, idea, 33, emotion, excited
KaROlTz,Mon, 29 Jul 2019 15:42:25 GMT,click, idea, 33, emotion, excited
KaROlTz,Mon, 29 Jul 2019 15:42:28 GMT,click, idea, 6
KaROlTz,Mon, 29 Jul 2019 15:43:06 GMT,click, idea, 15
KaROlTz,Mon, 29 Jul 2019 15:43:19 GMT,click, idea, 2
KaROlTz,Mon, 29 Jul 2019 15:43:23 GMT,click, idea, 4
