XKdXou7,Mon, 18 Mar 2019 17:03:04 GMT,click, idea,14,,
XKdXou7,Mon, 18 Mar 2019 17:03:06 GMT,click, idea,3,,
XKdXou7,Mon, 18 Mar 2019 17:03:09 GMT,click, idea,2,,
XKdXou7,Mon, 18 Mar 2019 17:03:12 GMT,click, idea,1,,
XKdXou7,Mon, 18 Mar 2019 17:06:34 GMT,click, idea,1,,
XKdXou7,Mon, 18 Mar 2019 17:06:37 GMT,click, idea,3,,
XKdXou7,Mon, 18 Mar 2019 17:07:01 GMT,click, idea,14,,
XKdXou7,Mon, 18 Mar 2019 17:08:59 GMT,click, idea,1, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:20 GMT,click, idea,14, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:20 GMT,click, idea,14, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:23 GMT,click, idea,6, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:24 GMT,click, idea,10, emotion, sad
XKdXou7,Mon, 18 Mar 2019 17:20:26 GMT,click, idea,6, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:28 GMT,click, idea,10,,
XKdXou7,Mon, 18 Mar 2019 17:20:34 GMT,click, idea,6, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:36 GMT,click, idea,6, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:20:57 GMT,click, idea,2, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:21:00 GMT,click, idea,3,,
XKdXou7,Mon, 18 Mar 2019 17:23:27 GMT,click, idea,1, emotion, happy
XKdXou7,Mon, 18 Mar 2019 17:23:28 GMT,click, idea,2, emotion, excited
XKdXou7,Mon, 18 Mar 2019 17:23:29 GMT,click, idea,1, emotion, happy
XKdXou7,Mon, 18 Mar 2019 17:23:30 GMT,click, idea,2,,
XKdXou7,Mon, 18 Mar 2019 18:33:26 GMT,click, idea,2, emotion, excited
XKdXou7,Mon, 18 Mar 2019 18:33:32 GMT,click, idea,3,,
XKdXou7,Mon, 18 Mar 2019 18:35:09 GMT,click, sortby, angry,,
XKdXou7,Mon, 18 Mar 2019 18:35:24 GMT,click, idea,3,,
XKdXou7,Mon, 18 Mar 2019 19:22:53 GMT,click, idea,14,,
